EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,D2020,D2030,D2040,D2050,D2060,D2070
1,ABILENE,MUNICIPAL,G,JONES,Y,945,975,992,1012,1036,1057
1,ABILENE,MUNICIPAL,G,TAYLOR,Y,21316,21723,22058,22428,22838,23181
2,AMARILLO,MUNICIPAL,A,POTTER,Y,27293,29716,32399,35242,38531,42033
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,22161,24276,26462,28851,31543,34369
7,AUSTIN,MUNICIPAL,K,HAYS,Y,188,827,1304,2063,3025,4357
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,170686,198992,230751,252570,269954,293513
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,10787,13742,16122,18685,21592,24782
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,30788,32110,33623,35671,38168,41012
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,3163,3201,3182,3177,3172,3172
18,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,985,1107,1242,1382,1532,1685
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,1650,1651,1644,1648,1659,1669
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,140,176,217,260,309,362
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,12,12,13,13,14,15
23,CASH SUD,MUNICIPAL,D,HUNT,Y,2120,2464,2902,3451,4130,4950
23,CASH SUD,MUNICIPAL,D,RAINS,Y,81,84,83,84,84,84
24,CEDAR HILL,MUNICIPAL,C,DALLAS,Y,10660,12810,14994,16201,16186,16184
24,CEDAR HILL,MUNICIPAL,C,ELLIS,Y,139,174,215,275,275,275
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,16857,18582,18490,18457,18441,18434
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,2251,2387,2554,2550,2547,2546
26,CENTER,MUNICIPAL,I,SHELBY,N,1842,1952,2050,2152,2255,2351
31,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,13087,13280,14087,14808,15554,16326
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,64110,68180,70493,71888,73258,74240
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,6104,6582,7101,7750,8472,9253
36,DALLAS,MUNICIPAL,C,COLLIN,Y,15807,15886,15830,15706,15681,15679
36,DALLAS,MUNICIPAL,C,DALLAS,Y,252895,269507,303240,337114,364227,377458
36,DALLAS,MUNICIPAL,C,DENTON,Y,6578,6987,7811,8638,9301,9625
36,DALLAS,MUNICIPAL,C,ROCKWALL,Y,17,22,28,34,41,49
38,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,10558,11053,11554,12130,12733,13326
40,DENTON,MUNICIPAL,C,DENTON,N,26174,33012,40885,56228,80557,99143
43,DUMAS,MUNICIPAL,A,MOORE,N,3584,3993,4446,4930,5461,6011
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,9545,10839,12074,13429,14795,16122
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,1351,1500,1669,1853,2059,2288
47,EL PASO COUNTY WCID 4,MUNICIPAL,E,EL PASO,N,810,793,781,783,798,816
49,EL PASO WATER,MUNICIPAL,E,EL PASO,N,110572,120315,129713,139978,150601,160792
50,EMORY,MUNICIPAL,D,RAINS,N,791,829,837,842,845,847
51,ENNIS,MUNICIPAL,C,ELLIS,N,4026,4625,5234,7401,11887,19761
52,FORNEY,MUNICIPAL,C,KAUFMAN,N,3090,3554,4509,5634,8343,11114
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,FORT BEND,Y,8518,10459,11960,13466,14980,16595
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,HARRIS,Y,382,469,537,604,672,745
55,FORT WORTH,MUNICIPAL,C,DENTON,Y,7190,10843,15557,21833,27949,34079
55,FORT WORTH,MUNICIPAL,C,PARKER,Y,12462,19277,21579,24131,25713,27314
55,FORT WORTH,MUNICIPAL,C,TARRANT,Y,167062,201103,244833,265334,283569,302202
55,FORT WORTH,MUNICIPAL,C,WISE,Y,2396,3374,4308,5516,6708,7903
55,FORT WORTH,MUNICIPAL,G,JOHNSON,Y,0,0,0,957,1530,1912
57,GAINESVILLE,MUNICIPAL,C,COOKE,N,2656,2758,2833,2935,3557,4969
58,GALVESTON,MUNICIPAL,H,GALVESTON,N,16622,17422,18284,19244,20164,21151
59,GALVESTON COUNTY WCID 1,MUNICIPAL,H,GALVESTON,N,2966,3237,3536,3867,4223,4588
60,GARLAND,MUNICIPAL,C,COLLIN,Y,51,62,76,94,115,137
60,GARLAND,MUNICIPAL,C,DALLAS,Y,41055,43805,45269,45349,45528,45506
60,GARLAND,MUNICIPAL,C,ROCKWALL,Y,0,1,1,1,1,1
64,GREENVILLE,MUNICIPAL,D,HUNT,N,9271,10481,12187,14624,18163,23319
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,CALHOUN,Y,238,252,266,284,306,328
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,COMAL,Y,45,47,50,53,57,61
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,KENDALL,Y,42,44,47,50,54,58
68,HARLINGEN,MUNICIPAL,M,CAMERON,N,15797,17992,20088,22212,24412,27160
75,HORIZON REGIONAL MUD,MUNICIPAL,E,EL PASO,N,7936,11043,13962,16868,19630,22235
76,HOUSTON,MUNICIPAL,H,FORT BEND,Y,8231,8537,8786,9051,9309,9514
76,HOUSTON,MUNICIPAL,H,HARRIS,Y,437337,462581,488531,517832,550866,586347
76,HOUSTON,MUNICIPAL,H,MONTGOMERY,Y,958,1343,1768,2181,2592,2712
78,HUNTSVILLE,MUNICIPAL,H,WALKER,N,7861,8054,8177,8344,8517,8668
79,JACKSONVILLE,MUNICIPAL,I,CHEROKEE,N,3045,3247,3457,3745,4076,4440
82,LAGUNA MADRE WATER DISTRICT,MUNICIPAL,M,CAMERON,N,7930,9179,10461,11865,13330,14835
83,LAKE CITIES MUNICIPAL UTILITY AUTHORITY,MUNICIPAL,C,DENTON,N,2153,2435,2758,2962,2956,2955
84,LAMAR COUNTY WSD,MUNICIPAL,D,LAMAR,N,2216,2238,2252,2280,2316,2349
86,LONGVIEW,MUNICIPAL,D,GREGG,Y,23716,25539,27736,30380,33500,37060
86,LONGVIEW,MUNICIPAL,D,HARRISON,Y,552,583,617,671,732,805
89,LOWER VALLEY WATER DISTRICT,MUNICIPAL,E,EL PASO,N,5714,6563,7398,8290,9189,10045
90,LUBBOCK,MUNICIPAL,O,LUBBOCK,N,46775,51386,56443,60464,64576,68389
91,LUFKIN,MUNICIPAL,I,ANGELINA,N,7253,7545,7792,8073,8382,8668
94,MANSFIELD,MUNICIPAL,C,ELLIS,Y,30,35,44,64,79,97
94,MANSFIELD,MUNICIPAL,C,TARRANT,Y,18494,23328,27730,34279,39293,44295
94,MANSFIELD,MUNICIPAL,G,JOHNSON,Y,706,1003,1310,1647,2013,2405
95,MARSHALL,MUNICIPAL,D,HARRISON,N,4994,5232,5499,5959,6500,7148
96,MCALLEN,MUNICIPAL,M,HIDALGO,N,39787,48510,57403,66492,75765,84820
98,MIDLOTHIAN,MUNICIPAL,C,ELLIS,N,4811,7094,7408,7839,8359,9231
100,MOUNT PLEASANT,MUNICIPAL,D,TITUS,N,3890,4302,4745,5260,5828,6433
101,MUSTANG SUD,MUNICIPAL,C,DENTON,Y,4548,8361,12201,16049,19904,23762
101,MUSTANG SUD,MUNICIPAL,C,GRAYSON,Y,40,39,40,40,41,41
102,NACOGDOCHES,MUNICIPAL,I,NACOGDOCHES,N,6868,7514,8177,8945,9818,10742
103,NORTH ALAMO WSC,MUNICIPAL,M,CAMERON,Y,742,900,1062,1227,1395,1560
103,NORTH ALAMO WSC,MUNICIPAL,M,HIDALGO,Y,26417,32031,37785,43670,49653,55513
103,NORTH ALAMO WSC,MUNICIPAL,M,WILLACY,Y,1038,1148,1259,1383,1506,1628
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,122747,128791,133934,138694,143385,147826
107,NORTH RICHLAND HILLS,MUNICIPAL,C,TARRANT,N,12812,13457,13254,13140,13116,13115
110,NUECES COUNTY WCID 3,MUNICIPAL,N,NUECES,N,4004,3992,3952,3933,3929,3928
111,ODESSA,MUNICIPAL,F,ECTOR,Y,24523,27724,30382,33254,36278,39632
111,ODESSA,MUNICIPAL,F,MIDLAND,Y,481,605,709,817,924,1037
115,PARIS,MUNICIPAL,D,LAMAR,N,3059,3042,3017,3033,3079,3123
117,PASADENA,MUNICIPAL,H,HARRIS,N,21838,21859,21923,22266,22795,23394
118,PORT ARTHUR,MUNICIPAL,I,JEFFERSON,Y,19234,19205,18984,18939,18920,18919
118,PORT ARTHUR,MUNICIPAL,I,ORANGE,Y,2,2,2,2,2,2
121,ROCKETT SUD,MUNICIPAL,C,DALLAS,Y,114,220,323,427,532,638
121,ROCKETT SUD,MUNICIPAL,C,ELLIS,Y,4505,5606,6028,8000,10638,13816
122,ROCKWALL,MUNICIPAL,C,ROCKWALL,N,9902,14346,21079,22002,23798,25611
123,ROUND ROCK,MUNICIPAL,G,WILLIAMSON,Y,19804,24297,30246,37228,37174,37153
123,ROUND ROCK,MUNICIPAL,K,TRAVIS,Y,278,315,352,395,434,470
125,SAN ANGELO,MUNICIPAL,F,TOM GREEN,N,17924,19657,20494,21556,22847,24250
129,SEGUIN,MUNICIPAL,L,GUADALUPE,N,4276,4992,5748,6519,7338,8150
130,SEAGOVILLE,MUNICIPAL,C,DALLAS,Y,2061,2412,2778,3161,3569,3567
130,SEAGOVILLE,MUNICIPAL,C,KAUFMAN,Y,3,4,5,6,7,8
131,SHARYLAND WSC,MUNICIPAL,M,HIDALGO,N,12901,15628,18421,21302,24263,27160
134,SPRINGS HILL WSC,MUNICIPAL,L,GUADALUPE,N,2326,2570,2975,3399,3875,4333
136,SULPHUR SPRINGS,MUNICIPAL,D,HOPKINS,N,3118,3199,3278,3403,3547,3697
137,SWEETWATER,MUNICIPAL,G,NOLAN,N,1953,1996,2017,2084,2140,2192
139,TERRELL,MUNICIPAL,C,KAUFMAN,N,3857,7237,9786,11370,12658,14741
140,TEXARKANA,MUNICIPAL,D,BOWIE,N,7145,7282,7459,7706,8028,8380
144,TYLER,MUNICIPAL,D,SMITH,Y,185,206,232,263,301,347
144,TYLER,MUNICIPAL,I,SMITH,Y,20032,21313,22676,24310,26118,28007
151,VALLEY MUD 2,MUNICIPAL,M,CAMERON,N,978,1129,1284,1455,1634,1819
152,WACO,MUNICIPAL,G,MCLENNAN,N,31279,33063,34676,36494,38495,40503
153,WALNUT CREEK SUD,MUNICIPAL,C,PARKER,Y,1331,1517,1581,2254,3326,4353
153,WALNUT CREEK SUD,MUNICIPAL,C,WISE,Y,265,343,425,518,763,985
154,WAXAHACHIE,MUNICIPAL,C,ELLIS,N,6872,7702,9226,11299,13749,16715
155,WEATHERFORD,MUNICIPAL,C,PARKER,N,5306,6213,6586,10928,17870,24614
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,HENDERSON,Y,938,968,996,1046,1311,1647
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,KAUFMAN,Y,276,306,337,394,451,511
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,FORT BEND,Y,1403,1411,1401,1399,1407,1419
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,70643,72746,76796,81270,82841,84299
160,WICHITA FALLS,MUNICIPAL,B,WICHITA,N,16873,16987,17055,17159,17422,17677
162,439 WSC,MUNICIPAL,G,BELL,N,1407,1656,1917,2191,2483,2785
163,ABERNATHY,MUNICIPAL,O,HALE,Y,536,547,549,540,553,559
163,ABERNATHY,MUNICIPAL,O,LUBBOCK,Y,186,203,220,239,258,278
164,ABLES SPRINGS WSC,MUNICIPAL,C,KAUFMAN,Y,303,375,452,567,692,827
164,ABLES SPRINGS WSC,MUNICIPAL,D,HUNT,Y,58,89,131,189,272,392
164,ABLES SPRINGS WSC,MUNICIPAL,D,VAN ZANDT,Y,2,2,3,3,3,3
165,ACTON MUD,MUNICIPAL,G,HOOD,Y,2808,4365,5384,5915,6524,7204
165,ACTON MUD,MUNICIPAL,G,JOHNSON,Y,37,57,71,78,86,95
166,ADDISON,MUNICIPAL,C,DALLAS,N,6137,6486,6856,7248,7657,8069
168,ALAMO,MUNICIPAL,M,HIDALGO,N,3230,3908,4607,5326,6064,6786
169,ALAMO HEIGHTS,MUNICIPAL,L,BEXAR,N,2210,2261,2233,2221,2218,2218
170,ALBANY,MUNICIPAL,G,SHACKELFORD,N,604,635,624,625,624,624
171,ALEDO,MUNICIPAL,C,PARKER,N,862,1322,1505,1727,1802,2026
172,ALICE,MUNICIPAL,N,JIM WELLS,N,4494,4744,4978,5267,5548,5812
173,ALLEN,MUNICIPAL,C,COLLIN,N,21887,23536,23806,24125,24496,24902
174,ALPINE,MUNICIPAL,E,BREWSTER,N,1934,1944,1935,1933,1937,1940
175,ALTO,MUNICIPAL,I,CHEROKEE,N,236,253,270,293,319,347
176,ALTO RURAL WSC,MUNICIPAL,I,CHEROKEE,N,637,677,734,801,873,951
178,ALVARADO,MUNICIPAL,G,JOHNSON,N,446,483,525,577,639,708
179,ALVIN,MUNICIPAL,H,BRAZORIA,N,4644,4866,5160,5587,6186,6983
180,ALVORD,MUNICIPAL,C,WISE,N,228,274,322,392,448,504
182,AMHERST,MUNICIPAL,O,LAMB,N,102,107,110,113,119,124
183,ANAHUAC,MUNICIPAL,H,CHAMBERS,N,281,273,268,267,270,275
185,ANDREWS,MUNICIPAL,F,ANDREWS,N,4182,5026,5785,6692,7767,9021
186,ANGLETON,MUNICIPAL,H,BRAZORIA,N,1919,1849,1793,1768,1774,1788
187,ANNA,MUNICIPAL,C,COLLIN,N,2389,4047,6429,8336,10816,14053
188,ANNETTA,MUNICIPAL,C,PARKER,N,431,496,565,637,712,787
190,ANSON,MUNICIPAL,G,JONES,N,365,373,376,386,394,402
191,ANTHONY,MUNICIPAL,E,EL PASO,N,770,905,1033,1163,1291,1412
192,ANTON,MUNICIPAL,O,HOCKLEY,N,160,164,165,165,171,176
193,APPLEBY WSC,MUNICIPAL,I,NACOGDOCHES,N,658,722,787,862,946,1035
194,AQUA WSC,MUNICIPAL,G,LEE,Y,465,510,535,543,550,554
194,AQUA WSC,MUNICIPAL,K,BASTROP,Y,9226,11834,15310,20112,26678,35425
194,AQUA WSC,MUNICIPAL,K,FAYETTE,Y,4,4,5,5,5,5
194,AQUA WSC,MUNICIPAL,K,TRAVIS,Y,1088,1226,1362,1524,1671,1809
194,AQUA WSC,MUNICIPAL,L,CALDWELL,Y,284,339,395,452,511,569
195,ARANSAS PASS,MUNICIPAL,N,ARANSAS,Y,132,131,127,126,126,126
195,ARANSAS PASS,MUNICIPAL,N,NUECES,Y,2,2,2,2,2,2
195,ARANSAS PASS,MUNICIPAL,N,SAN PATRICIO,Y,1370,1391,1392,1399,1414,1425
196,ARCHER CITY,MUNICIPAL,B,ARCHER,N,263,255,248,244,244,244
199,ARGYLE WSC,MUNICIPAL,C,DENTON,N,2659,3365,4322,4319,4317,4314
200,ARLINGTON,MUNICIPAL,C,TARRANT,N,66810,68113,68511,69419,69282,69277
