EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,SourceType,WmsId,WmsSponsorRegion,WmsName,WmsType,SS2020,SS2030,SS2040,SS2050,SS2060,SS2070
1,,ABILENE,MUNICIPAL,G,JONES,Y,DEMAND REDUCTION,DEMAND REDUCTION,3889,G,MUNICIPAL WATER CONSERVATION - ABILENE,MUNICIPAL CONSERVATION,0,70,95,86,87,88
1,,ABILENE,MUNICIPAL,G,TAYLOR,Y,DEMAND REDUCTION,DEMAND REDUCTION,3889,G,MUNICIPAL WATER CONSERVATION - ABILENE,MUNICIPAL CONSERVATION,0,1554,2102,1915,1908,1935
1,137,ABILENE,MUNICIPAL,G,JONES,Y,CEDAR RIDGE LAKE/RESERVOIR,SURFACE WATER,2893,G,CEDAR RIDGE RESERVOIR,NEW MAJOR RESERVOIR,0,0,813,704,573,440
1,137,ABILENE,MUNICIPAL,G,TAYLOR,Y,CEDAR RIDGE LAKE/RESERVOIR,SURFACE WATER,2893,G,CEDAR RIDGE RESERVOIR,NEW MAJOR RESERVOIR,0,0,18076,15596,12627,9660
1,507,ABILENE,MUNICIPAL,G,JONES,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,4013,F,SUBORDINATION - OH IVIE NON SYSTEM PORTION,OTHER SURFACE WATER,14,46,50,55,59,63
1,507,ABILENE,MUNICIPAL,G,JONES,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,5382,F,WEST TEXAS WATER PARTNERSHIP (SUBORDINATION - OH IVIE NON SYSTEM PORTION),OTHER SURFACE WATER,0,13,16,18,21,24
1,507,ABILENE,MUNICIPAL,G,JONES,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,5383,F,WEST TEXAS WATER PARTNERSHIP (OH IVIE NON SYSTEM PORTION),OTHER SURFACE WATER,0,321,318,318,316,315
1,507,ABILENE,MUNICIPAL,G,TAYLOR,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,4013,F,SUBORDINATION - OH IVIE NON SYSTEM PORTION,OTHER SURFACE WATER,315,1031,1123,1208,1300,1386
1,507,ABILENE,MUNICIPAL,G,TAYLOR,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,5382,F,WEST TEXAS WATER PARTNERSHIP (SUBORDINATION - OH IVIE NON SYSTEM PORTION),OTHER SURFACE WATER,0,285,346,404,465,522
1,507,ABILENE,MUNICIPAL,G,TAYLOR,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,5383,F,WEST TEXAS WATER PARTNERSHIP (OH IVIE NON SYSTEM PORTION),OTHER SURFACE WATER,0,7149,7088,7028,6966,6907
