EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,D2030,D2040,D2050,D2060,D2070,D2080
1,ABILENE,MUNICIPAL,G,TAYLOR,N,26848,28860,30633,32411,34391,36611
2,AMARILLO,MUNICIPAL,A,POTTER,Y,22907,22670,22050,21047,20031,18995
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,23923,26843,29666,32394,35130,37871
7,AUSTIN,MUNICIPAL,K,HAYS,Y,22,26,30,34,38,42
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,191812,223243,255604,287768,317536,348767
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,16159,21070,27735,34595,41937,49401
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,29419,30134,30967,30565,30167,29774
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,3535,3480,3394,3295,3201,3116
18,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,857,859,855,834,813,793
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,1649,1632,1609,1578,1549,1520
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,376,496,644,800,971,1159
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,27,31,34,42,44,53
23,CASH SUD,MUNICIPAL,D,HUNT,Y,2448,2769,3090,3312,3310,3480
23,CASH SUD,MUNICIPAL,D,RAINS,Y,116,127,150,185,214,248
24,CEDAR HILL,MUNICIPAL,C,DALLAS,N,10544,11467,12517,13527,14619,15799
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,19246,19186,19186,19186,19186,19186
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,2205,2493,2611,2611,2611,2611
26,CENTER,MUNICIPAL,I,SHELBY,N,2135,2099,2047,1995,1944,1894
31,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,11569,11762,11904,11978,12040,11900
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,59084,59885,59942,59581,59223,58866
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,6265,6688,7053,7368,7716,8098
36,DALLAS,MUNICIPAL,C,COLLIN,Y,11730,13022,14503,16153,17990,20037
36,DALLAS,MUNICIPAL,C,DALLAS,Y,276907,286506,297389,308685,320410,332580
36,DALLAS,MUNICIPAL,C,DENTON,Y,7624,9385,11672,14095,16792,19702
38,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,12977,12985,13017,13048,13079,13110
40,DENTON,MUNICIPAL,C,DENTON,N,31573,40291,49891,59284,70931,82318
43,DUMAS,MUNICIPAL,A,MOORE,N,3032,3038,3027,2956,2885,2815
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,9579,10192,10713,11180,11644,12107
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,3591,3799,3829,3914,4007,4111
47,EL PASO COUNTY WCID 4,MUNICIPAL,E,EL PASO,N,973,1009,1030,1038,1047,1056
49,EL PASO WATER,MUNICIPAL,E,EL PASO,N,120789,124096,126236,127760,129309,130883
50,EMORY,MUNICIPAL,D,RAINS,N,732,745,766,772,777,781
51,ENNIS,MUNICIPAL,C,ELLIS,N,3721,3892,4092,4272,4476,4704
52,FORNEY,MUNICIPAL,C,KAUFMAN,N,4304,5511,6823,8056,8956,8956
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,FORT BEND,Y,9277,10031,10513,10898,11268,11689
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,HARRIS,Y,325,325,325,326,328,335
55,FORT WORTH,MUNICIPAL,C,DENTON,Y,5081,7584,9304,11598,14125,16908
55,FORT WORTH,MUNICIPAL,C,PARKER,Y,725,832,854,935,1024,1123
55,FORT WORTH,MUNICIPAL,C,TARRANT,Y,210962,247795,252300,269789,289020,310171
55,FORT WORTH,MUNICIPAL,C,WISE,Y,479,551,568,624,687,755
55,FORT WORTH,MUNICIPAL,G,JOHNSON,Y,0,0,978,1553,1925,1909
57,GAINESVILLE,MUNICIPAL,C,COOKE,N,2741,2812,2851,2981,3217,3450
58,GALVESTON,MUNICIPAL,H,GALVESTON,N,18318,18393,18654,18806,18933,19053
59,GALVESTON COUNTY WCID 1,MUNICIPAL,H,GALVESTON,N,2839,2924,2976,3012,3039,3061
60,GARLAND,MUNICIPAL,C,DALLAS,N,40812,43884,45816,47228,47510,47510
64,GREENVILLE,MUNICIPAL,D,HUNT,N,19410,21807,23203,24371,25554,26751
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,CALHOUN,Y,582,526,468,412,348,276
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,COMAL,Y,555,554,554,554,554,554
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,KENDALL,Y,273,870,870,870,870,870
68,HARLINGEN,MUNICIPAL,M,CAMERON,N,14830,15149,15288,15248,15208,15166
75,HORIZON REGIONAL MUD,MUNICIPAL,E,EL PASO,N,9548,9914,10121,10205,10291,10376
76,HOUSTON,MUNICIPAL,H,FORT BEND,Y,8200,8911,9350,9814,10158,10451
76,HOUSTON,MUNICIPAL,H,HARRIS,Y,456493,468766,480608,485704,483226,484467
76,HOUSTON,MUNICIPAL,H,MONTGOMERY,Y,1575,1691,1833,1948,2053,2142
78,HUNTSVILLE,MUNICIPAL,H,WALKER,N,10490,11402,13003,14956,17076,19384
79,JACKSONVILLE,MUNICIPAL,I,CHEROKEE,N,2576,2541,2494,2442,2390,2338
82,LAGUNA MADRE WATER DISTRICT,MUNICIPAL,M,CAMERON,N,4638,4745,4787,4771,4754,4736
83,LAKE CITIES MUNICIPAL UTILITY AUTHORITY,MUNICIPAL,C,DENTON,N,2411,2913,3050,3082,3102,3102
84,LAMAR COUNTY WSD,MUNICIPAL,D,LAMAR,N,2906,2903,2889,2876,2862,2849
86,LONGVIEW,MUNICIPAL,D,GREGG,Y,22779,23053,23311,23323,23329,23352
86,LONGVIEW,MUNICIPAL,D,HARRISON,Y,777,861,896,1022,1151,1255
89,LOWER VALLEY WATER DISTRICT,MUNICIPAL,E,EL PASO,N,7176,7434,7588,7652,7716,7780
90,LUBBOCK,MUNICIPAL,O,LUBBOCK,N,52502,58086,63949,71414,79414,87986
91,LUFKIN,MUNICIPAL,I,ANGELINA,N,6592,6674,6726,6792,6857,6922
94,MANSFIELD,MUNICIPAL,C,ELLIS,Y,157,188,221,256,293,335
94,MANSFIELD,MUNICIPAL,C,TARRANT,Y,27654,29081,35273,49803,49765,49724
94,MANSFIELD,MUNICIPAL,G,JOHNSON,Y,1755,2488,3233,3935,4721,5600
95,MARSHALL,MUNICIPAL,D,HARRISON,N,4656,4544,4536,4278,4028,3785
96,MCALLEN,MUNICIPAL,M,HIDALGO,N,38276,42409,46441,47673,48924,50195
98,MIDLOTHIAN,MUNICIPAL,C,ELLIS,N,7672,8752,10446,12038,13700,15005
100,MOUNT PLEASANT,MUNICIPAL,D,TITUS,N,4049,4145,4209,4261,4319,4382
101,MUSTANG SUD,MUNICIPAL,C,COLLIN,Y,518,753,959,1172,1343,1502
101,MUSTANG SUD,MUNICIPAL,C,DENTON,Y,15484,21922,29322,36650,42527,47556
101,MUSTANG SUD,MUNICIPAL,C,GRAYSON,Y,346,504,646,789,895,1001
102,NACOGDOCHES,MUNICIPAL,I,NACOGDOCHES,N,7421,7614,7809,8104,8397,8690
103,NORTH ALAMO WSC,MUNICIPAL,M,CAMERON,Y,687,702,708,705,703,700
103,NORTH ALAMO WSC,MUNICIPAL,M,HIDALGO,Y,33888,37393,39656,40051,40439,40821
103,NORTH ALAMO WSC,MUNICIPAL,M,WILLACY,Y,719,718,722,730,745,767
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,139283,141812,145939,147949,152814,156039
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,MONTGOMERY,Y,7,8,9,9,9,10
107,NORTH RICHLAND HILLS,MUNICIPAL,C,TARRANT,N,13934,14841,15086,15280,15562,15562
110,NUECES COUNTY WCID 3,MUNICIPAL,N,NUECES,N,3452,3504,3507,3485,3463,3441
111,ODESSA,MUNICIPAL,F,ECTOR,Y,21766,24868,28681,30457,32216,33964
111,ODESSA,MUNICIPAL,F,MIDLAND,Y,1072,1636,2310,2777,3261,3757
115,PARIS,MUNICIPAL,D,LAMAR,N,3698,3687,3671,3653,3636,3618
117,PASADENA,MUNICIPAL,H,HARRIS,N,20452,20628,20787,20858,20863,20812
118,PORT ARTHUR,MUNICIPAL,I,JEFFERSON,N,18309,18454,18405,18183,17964,17748
121,ROCKETT SUD,MUNICIPAL,C,DALLAS,Y,86,95,103,106,110,111
121,ROCKETT SUD,MUNICIPAL,C,ELLIS,Y,4285,5094,6105,7029,8476,9652
122,ROCKWALL,MUNICIPAL,C,ROCKWALL,N,10089,12332,16427,21919,22762,22762
123,ROUND ROCK,MUNICIPAL,G,WILLIAMSON,Y,22714,28052,33340,34436,35428,36292
123,ROUND ROCK,MUNICIPAL,K,TRAVIS,Y,311,380,440,499,567,643
125,SAN ANGELO,MUNICIPAL,F,TOM GREEN,N,17593,18903,20114,21305,22606,24026
129,SEGUIN,MUNICIPAL,L,GUADALUPE,N,7605,8929,9580,9963,10357,10761
130,SEAGOVILLE,MUNICIPAL,C,DALLAS,N,2217,2416,2529,2596,2669,2749
131,SHARYLAND WSC,MUNICIPAL,M,HIDALGO,N,15541,16948,17867,18108,18349,18589
134,SPRINGS HILL WSC,MUNICIPAL,L,GUADALUPE,Y,5425,6397,7505,8672,9996,11500
134,SPRINGS HILL WSC,MUNICIPAL,L,WILSON,Y,26,38,50,60,72,85
136,SULPHUR SPRINGS,MUNICIPAL,D,HOPKINS,N,3440,3497,3590,3646,3701,3757
137,SWEETWATER,MUNICIPAL,G,NOLAN,N,1808,1786,1762,1733,1703,1672
139,TERRELL,MUNICIPAL,C,KAUFMAN,N,4128,4698,5760,6695,7929,8893
140,TEXARKANA,MUNICIPAL,D,BOWIE,N,6769,6702,6649,6554,6459,6362
144,TYLER,MUNICIPAL,D,SMITH,Y,233,209,194,173,153,133
144,TYLER,MUNICIPAL,I,SMITH,Y,34718,38796,43467,46016,48716,51573
151,VALLEY MUD 2,MUNICIPAL,M,CAMERON,N,971,994,1002,999,995,991
152,WACO,MUNICIPAL,G,MCLENNAN,N,38126,41590,44657,47967,51680,55842
153,WALNUT CREEK SUD,MUNICIPAL,C,PARKER,Y,3228,3511,4880,7306,10166,13013
153,WALNUT CREEK SUD,MUNICIPAL,C,WISE,Y,572,610,842,1268,1794,2296
154,WAXAHACHIE,MUNICIPAL,C,ELLIS,N,8654,10663,12873,15107,17564,20267
155,WEATHERFORD,MUNICIPAL,C,PARKER,N,8205,9760,11548,13424,15491,17767
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,HENDERSON,Y,1037,963,1063,1064,1064,1063
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,KAUFMAN,Y,49,59,73,88,104,123
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,FORT BEND,Y,1370,1393,1457,1523,1573,1621
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,72864,75125,75763,76107,78161,80112
160,WICHITA FALLS,MUNICIPAL,B,WICHITA,N,15775,15579,15194,14643,14112,13598
162,439 WSC,MUNICIPAL,G,BELL,N,1517,1769,2007,2207,2355,2435
163,ABERNATHY,MUNICIPAL,O,HALE,Y,547,590,637,688,757,854
163,ABERNATHY,MUNICIPAL,O,LUBBOCK,Y,181,186,193,199,206,214
164,ABLES SPRINGS SUD,MUNICIPAL,C,KAUFMAN,Y,399,416,485,546,619,650
164,ABLES SPRINGS SUD,MUNICIPAL,D,HUNT,Y,42,45,48,51,53,56
164,ABLES SPRINGS SUD,MUNICIPAL,D,VAN ZANDT,Y,2,2,3,3,3,3
165,ACTON MUD,MUNICIPAL,G,HOOD,Y,2320,2511,2728,2963,3218,3495
165,ACTON MUD,MUNICIPAL,G,JOHNSON,Y,14,13,11,10,9,8
166,ADDISON,MUNICIPAL,C,DALLAS,N,8324,9360,9922,10255,10622,11025
168,ALAMO,MUNICIPAL,M,HIDALGO,N,2638,2688,2739,2833,2929,3027
169,ALAMO HEIGHTS,MUNICIPAL,L,BEXAR,N,2099,2094,2094,2094,2094,2094
170,ALBANY,MUNICIPAL,G,SHACKELFORD,N,541,487,432,394,351,301
171,ALEDO,MUNICIPAL,C,PARKER,N,1410,1515,1858,2121,2417,2596
172,ALICE,MUNICIPAL,N,JIM WELLS,N,4009,4235,4436,4667,4943,5276
173,ALLEN,MUNICIPAL,C,COLLIN,N,25556,28533,28533,28533,28533,28533
174,ALPINE,MUNICIPAL,E,BREWSTER,N,3019,2900,2797,2713,2629,2545
175,ALTO,MUNICIPAL,I,CHEROKEE,N,218,215,211,206,202,197
176,ALTO RURAL WSC,MUNICIPAL,I,CHEROKEE,N,941,1026,1123,1231,1350,1482
178,ALVARADO,MUNICIPAL,G,JOHNSON,N,673,770,871,961,1063,1177
179,ALVIN,MUNICIPAL,H,BRAZORIA,N,3151,3259,3458,3474,3448,3462
180,ALVORD,MUNICIPAL,C,WISE,N,412,509,596,666,742,827
182,AMHERST,MUNICIPAL,O,LAMB,N,81,80,80,80,79,79
183,ANAHUAC,MUNICIPAL,H,CHAMBERS,N,227,226,226,226,238,240
185,ANDREWS,MUNICIPAL,F,ANDREWS,N,4487,5472,6603,7746,8990,10346
186,ANGLETON,MUNICIPAL,H,BRAZORIA,N,1906,1899,1876,1835,1789,1725
187,ANNA,MUNICIPAL,C,COLLIN,N,6639,10722,13577,16162,18686,20034
188,ANNETTA,MUNICIPAL,C,PARKER,N,445,531,619,707,795,883
190,ANSON,MUNICIPAL,G,JONES,N,345,329,314,297,279,259
191,ANTHONY,MUNICIPAL,E,EL PASO,N,858,891,909,917,924,932
192,ANTON,MUNICIPAL,O,HOCKLEY,N,103,101,100,98,97,97
193,APPLEBY WSC,MUNICIPAL,I,NACOGDOCHES,N,1044,1076,1107,1160,1212,1263
194,AQUA WSC,MUNICIPAL,G,LEE,Y,264,273,284,295,306,318
194,AQUA WSC,MUNICIPAL,K,BASTROP,Y,12794,15849,19517,23683,28404,33755
194,AQUA WSC,MUNICIPAL,K,TRAVIS,Y,1352,1601,1820,2038,2286,2567
194,AQUA WSC,MUNICIPAL,L,CALDWELL,Y,184,212,238,264,293,326
195,ARANSAS PASS,MUNICIPAL,N,ARANSAS,Y,116,115,112,110,107,105
195,ARANSAS PASS,MUNICIPAL,N,SAN PATRICIO,Y,1185,1180,1183,1191,1199,1207
196,ARCHER CITY,MUNICIPAL,B,ARCHER,N,239,226,212,198,186,174
199,ARGYLE WSC,MUNICIPAL,C,DENTON,N,2674,3458,4583,5664,6458,7041
200,ARLINGTON,MUNICIPAL,C,TARRANT,N,74649,80933,86223,90489,96329,99192
201,ARP,MUNICIPAL,I,SMITH,N,155,141,132,120,108,96
202,ASHERTON,MUNICIPAL,L,DIMMIT,N,136,129,122,115,107,99
203,ASPERMONT,MUNICIPAL,G,STONEWALL,N,243,228,210,197,184,170
204,ATASCOSA RURAL WSC,MUNICIPAL,L,BEXAR,N,1647,1910,2152,2363,2605,2882
205,ATHENS,MUNICIPAL,C,HENDERSON,Y,2591,3119,4108,4956,5981,6607
205,ATHENS,MUNICIPAL,I,HENDERSON,Y,42,42,42,42,42,42
206,ATLANTA,MUNICIPAL,D,CASS,N,981,934,885,847,808,769
207,AUBREY,MUNICIPAL,C,DENTON,N,949,1650,2833,3853,4634,4634
209,AZLE,MUNICIPAL,C,PARKER,Y,512,649,805,972,1155,1357
209,AZLE,MUNICIPAL,C,TARRANT,Y,1985,2211,2405,2557,2725,2909
210,BACLIFF MUD,MUNICIPAL,H,GALVESTON,N,720,739,752,763,768,773
212,BAIRD,MUNICIPAL,G,CALLAHAN,N,329,328,325,322,318,314
213,BALCH SPRINGS,MUNICIPAL,C,DALLAS,N,2854,3033,3316,3614,3993,4191
215,BALLINGER,MUNICIPAL,F,RUNNELS,N,709,711,715,723,734,747
217,BANDERA,MUNICIPAL,J,BANDERA,N,347,353,360,367,374,382
218,BANGS,MUNICIPAL,F,BROWN,N,346,347,348,349,350,351
220,BARTLETT,MUNICIPAL,G,BELL,Y,133,126,122,116,110,104
220,BARTLETT,MUNICIPAL,G,WILLIAMSON,Y,195,197,199,203,206,210
221,BARTON CREEK WEST WSC,MUNICIPAL,K,TRAVIS,N,420,430,430,430,430,430
223,CROSS TIMBERS WSC,MUNICIPAL,C,DENTON,N,2103,2634,3198,3771,4451,5436
224,BASTROP,MUNICIPAL,K,BASTROP,N,2048,2523,3095,3744,4480,5315
225,BASTROP COUNTY WCID 2,MUNICIPAL,K,BASTROP,N,482,590,721,870,1038,1229
226,BAY CITY,MUNICIPAL,K,MATAGORDA,N,2555,2541,2548,2552,2556,2558
227,GALVESTON COUNTY MUD 12,MUNICIPAL,H,GALVESTON,N,322,321,321,321,321,321
228,BAYTOWN,MUNICIPAL,H,CHAMBERS,Y,885,1133,1426,1748,2090,2473
228,BAYTOWN,MUNICIPAL,H,HARRIS,Y,12850,14850,15607,15838,15554,15223
231,BECKVILLE,MUNICIPAL,I,PANOLA,N,87,77,69,62,56,51
232,BEDFORD,MUNICIPAL,C,TARRANT,N,9733,10445,10614,11153,11153,11153
234,BEEVILLE,MUNICIPAL,N,BEE,N,2805,2927,3075,3253,3448,3663
235,BELL MILAM FALLS WSC,MUNICIPAL,G,BELL,Y,399,422,441,452,464,478
235,BELL MILAM FALLS WSC,MUNICIPAL,G,FALLS,Y,221,205,190,175,158,140
235,BELL MILAM FALLS WSC,MUNICIPAL,G,MILAM,Y,251,246,237,229,220,211
235,BELL MILAM FALLS WSC,MUNICIPAL,G,WILLIAMSON,Y,62,79,98,120,144,171
236,BELLAIRE,MUNICIPAL,H,HARRIS,N,3865,3930,3935,3940,3882,3841
237,BELLMEAD,MUNICIPAL,G,MCLENNAN,N,1441,1482,1525,1556,1593,1636
238,BELLS,MUNICIPAL,C,GRAYSON,N,179,194,207,219,232,246
239,BELLVILLE,MUNICIPAL,H,AUSTIN,N,1180,1195,1232,1250,1265,1281
240,BELTON,MUNICIPAL,G,BELL,N,4887,5899,6916,7846,8613,9146
241,DUVAL COUNTY CRD,MUNICIPAL,N,DUVAL,N,161,152,143,135,127,119
242,BENBROOK WATER AUTHORITY,MUNICIPAL,C,TARRANT,N,6152,6633,7124,7615,8106,8597
243,BENTON CITY WSC,MUNICIPAL,L,ATASCOSA,Y,1501,1670,1838,1952,2083,2234
243,BENTON CITY WSC,MUNICIPAL,L,FRIO,Y,134,175,204,206,208,210
243,BENTON CITY WSC,MUNICIPAL,L,MEDINA,Y,614,649,677,695,715,739
244,BERRYVILLE,MUNICIPAL,I,ANDERSON,Y,2,2,2,2,2,2
244,BERRYVILLE,MUNICIPAL,I,HENDERSON,Y,95,90,97,98,99,99
245,BERTRAM,MUNICIPAL,K,BURNET,N,1149,1485,1777,2113,2491,2918
246,BETHANY SUD,MUNICIPAL,G,JOHNSON,N,478,526,575,619,668,722
247,BETHEL ASH WSC,MUNICIPAL,C,HENDERSON,Y,299,312,315,323,331,340
247,BETHEL ASH WSC,MUNICIPAL,D,VAN ZANDT,Y,168,184,200,216,233,249
247,BETHEL ASH WSC,MUNICIPAL,I,HENDERSON,Y,269,270,281,285,290,294
248,BETHESDA WSC,MUNICIPAL,C,TARRANT,Y,72,79,86,90,96,102
248,BETHESDA WSC,MUNICIPAL,G,JOHNSON,Y,7272,8384,9523,10556,11715,13017
250,BEVIL OAKS,MUNICIPAL,I,JEFFERSON,N,99,100,100,98,97,96
252,BIG LAKE,MUNICIPAL,F,REAGAN,N,760,781,790,792,793,795
254,BIG SANDY,MUNICIPAL,D,UPSHUR,N,266,267,267,263,259,255
255,BIG SPRING,MUNICIPAL,F,HOWARD,N,6566,6728,6826,6697,6556,6402
256,BIG WELLS,MUNICIPAL,L,DIMMIT,N,65,61,58,54,51,46
257,BISHOP,MUNICIPAL,N,NUECES,N,550,558,558,555,551,547
258,BISTONE MUNICIPAL WATER SUPPLY DISTRICT,MUNICIPAL,G,LIMESTONE,N,243,235,226,217,207,197
259,THE BITTER CREEK WSC,MUNICIPAL,G,FISHER,Y,101,97,94,93,91,90
259,THE BITTER CREEK WSC,MUNICIPAL,G,NOLAN,Y,146,157,170,183,198,218
260,BLACKLAND WSC,MUNICIPAL,C,ROCKWALL,N,916,950,1024,1188,1279,1376
261,BLANCO,MUNICIPAL,K,BLANCO,N,216,217,213,209,205,200
263,BLOOMING GROVE,MUNICIPAL,C,NAVARRO,N,170,176,191,204,221,239
264,BLOSSOM,MUNICIPAL,D,LAMAR,N,137,136,136,135,134,134
265,BLUE BELL MANOR UTILITY,MUNICIPAL,H,HARRIS,N,426,425,438,444,436,436
267,BLUE RIDGE,MUNICIPAL,C,COLLIN,N,278,362,459,556,663,781
