EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2030,WS2040,WS2050,WS2060,WS2070,WS2080
1,55,ABILENE,MUNICIPAL,G,TAYLOR,N,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,8440,8250,5410,5410,4763,4833
1,281,ABILENE,MUNICIPAL,G,TAYLOR,N,FORT PHANTOM HILL LAKE/RESERVOIR,2300,2200,2100,2000,1900,1010
1,373,ABILENE,MUNICIPAL,G,TAYLOR,N,HUBBARD CREEK LAKE/RESERVOIR,5027,7139,6000,3640,1300,1300
1,507,ABILENE,MUNICIPAL,G,TAYLOR,N,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,0,0,3012,4324,4191,4059
1,952,ABILENE,MUNICIPAL,G,TAYLOR,N,BRAZOS INDIRECT REUSE,7840,7840,7840,7840,7840,7840
1,1076,ABILENE,MUNICIPAL,G,TAYLOR,N,BRA SYSTEM OPERATIONS PERMIT SUPPLY,7737,7737,7737,7737,7490,6635
2,174,AMARILLO,MUNICIPAL,A,POTTER,Y,DOCKUM AQUIFER | CARSON,1,1,1,1,1,1
2,174,AMARILLO,MUNICIPAL,A,RANDALL,Y,DOCKUM AQUIFER | CARSON,1,1,1,1,1,1
2,193,AMARILLO,MUNICIPAL,A,POTTER,Y,DOCKUM AQUIFER | POTTER,248,234,217,200,183,164
2,193,AMARILLO,MUNICIPAL,A,RANDALL,Y,DOCKUM AQUIFER | POTTER,259,276,292,309,322,327
2,427,AMARILLO,MUNICIPAL,A,POTTER,Y,MEREDITH LAKE/RESERVOIR,1934,1575,1310,1010,741,512
2,427,AMARILLO,MUNICIPAL,A,RANDALL,Y,MEREDITH LAKE/RESERVOIR,2020,1866,1764,1555,1299,1018
2,465,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | CARSON,6500,6037,5489,4980,4557,4107
2,465,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | CARSON,6788,7149,7384,7666,7993,8187
2,472,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | DEAF SMITH,39,18,17,0,0,0
2,472,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | DEAF SMITH,40,22,23,0,0,0
2,499,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | POTTER,1052,904,745,600,499,414
2,499,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | POTTER,1098,1071,1003,923,875,825
2,500,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | RANDALL,294,205,158,127,66,61
2,500,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | RANDALL,307,243,213,195,117,121
2,501,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | ROBERTS,10835,9331,8169,6692,6064,5494
2,501,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | ROBERTS,11316,11047,10991,10298,10636,10955
7,169,AUSTIN,MUNICIPAL,K,TRAVIS,Y,DIRECT REUSE,5401,5401,5401,5401,5401,5401
7,368,AUSTIN,MUNICIPAL,K,TRAVIS,Y,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,137891,137891,137779,137779,137668,137668
7,658,AUSTIN,MUNICIPAL,K,HAYS,Y,COLORADO RUN-OF-RIVER,22,26,30,34,38,42
7,658,AUSTIN,MUNICIPAL,K,TRAVIS,Y,COLORADO RUN-OF-RIVER,146565,143159,133751,123617,115175,105638
7,658,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,COLORADO RUN-OF-RIVER,16159,21070,27735,34595,41937,49401
9,314,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,GULF COAST AQUIFER SYSTEM | HARDIN,5646,5646,5646,5646,5646,5646
9,663,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,NECHES RUN-OF-RIVER,9725,10017,10271,9943,9789,9772
9,683,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,SAM RAYBURN-STEINHAGEN LAKE/RESERVOIR SYSTEM,7700,7583,7483,7343,7202,7058
13,427,BORGER,MUNICIPAL,A,HUTCHINSON,N,MEREDITH LAKE/RESERVOIR,192,161,131,104,78,56
13,487,BORGER,MUNICIPAL,A,HUTCHINSON,N,OGALLALA AQUIFER | HUTCHINSON,2485,2231,1977,1756,1594,1429
13,501,BORGER,MUNICIPAL,A,HUTCHINSON,N,OGALLALA AQUIFER | ROBERTS,534,597,675,718,758,719
18,494,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,OGALLALA AQUIFER | MOORE,872,763,663,567,484,413
22,114,CARTHAGE,MUNICIPAL,I,PANOLA,N,CARRIZO-WILCOX AQUIFER | PANOLA,49,48,48,47,46,45
22,437,CARTHAGE,MUNICIPAL,I,PANOLA,N,MURVAUL LAKE/RESERVOIR,1600,1584,1561,1531,1503,1475
23,279,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,FORK LAKE/RESERVOIR,140,287,467,580,618,674
23,279,CASH SUD,MUNICIPAL,D,HOPKINS,Y,FORK LAKE/RESERVOIR,0,0,0,0,28,35
23,279,CASH SUD,MUNICIPAL,D,HUNT,Y,FORK LAKE/RESERVOIR,912,1605,2240,2400,2087,2024
23,279,CASH SUD,MUNICIPAL,D,RAINS,Y,FORK LAKE/RESERVOIR,0,0,0,0,136,167
23,390,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,TRINITY INDIRECT REUSE,39,33,31,25,53,56
23,390,CASH SUD,MUNICIPAL,D,HOPKINS,Y,TRINITY INDIRECT REUSE,12,16,19,28,2,3
23,390,CASH SUD,MUNICIPAL,D,HUNT,Y,TRINITY INDIRECT REUSE,278,217,149,89,181,170
23,390,CASH SUD,MUNICIPAL,D,RAINS,Y,TRINITY INDIRECT REUSE,45,64,89,119,12,12
23,738,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,TAWAKONI LAKE/RESERVOIR,155,172,189,208,239,260
23,738,CASH SUD,MUNICIPAL,D,HOPKINS,Y,TAWAKONI LAKE/RESERVOIR,11,11,11,11,11,12
23,738,CASH SUD,MUNICIPAL,D,HUNT,Y,TAWAKONI LAKE/RESERVOIR,1009,957,907,860,815,781
23,738,CASH SUD,MUNICIPAL,D,RAINS,Y,TAWAKONI LAKE/RESERVOIR,49,46,47,52,53,56
23,1068,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,NORTH TEXAS MWD LAKE/RESERVOIR SYSTEM,71,66,61,59,61,61
23,1068,CASH SUD,MUNICIPAL,D,HOPKINS,Y,NORTH TEXAS MWD LAKE/RESERVOIR SYSTEM,5,4,4,3,3,3
23,1068,CASH SUD,MUNICIPAL,D,HUNT,Y,NORTH TEXAS MWD LAKE/RESERVOIR SYSTEM,460,369,295,243,207,182
23,1068,CASH SUD,MUNICIPAL,D,RAINS,Y,NORTH TEXAS MWD LAKE/RESERVOIR SYSTEM,22,17,14,14,13,13
24,279,CEDAR HILL,MUNICIPAL,C,DALLAS,N,FORK LAKE/RESERVOIR,979,1047,1116,1188,1262,1347
24,390,CEDAR HILL,MUNICIPAL,C,DALLAS,N,TRINITY INDIRECT REUSE,1003,1206,1453,1562,1683,1835
24,648,CEDAR HILL,MUNICIPAL,C,DALLAS,N,RAY HUBBARD LAKE/RESERVOIR,1018,1039,1057,1075,1093,1116
24,650,CEDAR HILL,MUNICIPAL,C,DALLAS,N,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,2464,2420,2346,2434,2522,2638
24,738,CEDAR HILL,MUNICIPAL,C,DALLAS,N,TAWAKONI LAKE/RESERVOIR,4101,4221,4333,4447,4557,4695
24,768,CEDAR HILL,MUNICIPAL,C,DALLAS,N,TRINITY AQUIFER | DALLAS,180,180,180,180,180,180
25,368,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,16887,16652,16560,16560,16560,16560
25,368,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,1989,2224,2316,2316,2316,2316
25,807,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,TRINITY AQUIFER | WILLIAMSON,0,0,0,0,0,0
26,147,CENTER,MUNICIPAL,I,SHELBY,N,CENTER LAKE/RESERVOIR,260,260,261,262,263,264
26,607,CENTER,MUNICIPAL,I,SHELBY,N,PINKSTON LAKE/RESERVOIR,1875,1875,1874,1873,1872,1871
31,169,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,DIRECT REUSE,436,436,436,436,436,436
31,315,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,GULF COAST AQUIFER SYSTEM | HARRIS,1157,1176,1190,1198,1204,1190
31,410,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,LIVINGSTON-WALLISVILLE LAKE/RESERVOIR SYSTEM,22280,22280,22280,22280,22280,22280
34,163,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,CORPUS CHRISTI-CHOKE CANYON LAKE/RESERVOIR SYSTEM,35465,34958,33508,31899,30265,23303
34,169,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,DIRECT REUSE,336,336,336,336,336,336
34,658,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,COLORADO RUN-OF-RIVER,23283,24591,25526,26213,26936,27794
34,742,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,TEXANA LAKE/RESERVOIR,0,0,572,1133,1686,2275
35,453,CORSICANA,MUNICIPAL,C,NAVARRO,N,NAVARRO MILLS LAKE/RESERVOIR,5220,5443,5394,5322,5247,5181
35,652,CORSICANA,MUNICIPAL,C,NAVARRO,N,CORSICANA RICHLAND CHAMBERS-HALBERT LAKE/RESERVOIR SYSTEM,1045,1086,1075,1064,1044,1034
36,279,DALLAS,MUNICIPAL,C,COLLIN,Y,FORK LAKE/RESERVOIR,1108,1208,1312,1438,1573,1729
36,279,DALLAS,MUNICIPAL,C,DALLAS,Y,FORK LAKE/RESERVOIR,26160,26584,26907,27479,28011,28688
36,279,DALLAS,MUNICIPAL,C,DENTON,Y,FORK LAKE/RESERVOIR,720,871,1056,1255,1468,1699
36,390,DALLAS,MUNICIPAL,C,COLLIN,Y,TRINITY INDIRECT REUSE,1135,1392,1708,1890,2097,2354
36,390,DALLAS,MUNICIPAL,C,DALLAS,Y,TRINITY INDIRECT REUSE,26795,30620,35032,36130,37348,39077
36,390,DALLAS,MUNICIPAL,C,DENTON,Y,TRINITY INDIRECT REUSE,738,1003,1375,1650,1957,2315
36,648,DALLAS,MUNICIPAL,C,COLLIN,Y,RAY HUBBARD LAKE/RESERVOIR,1152,1198,1242,1301,1361,1432
36,648,DALLAS,MUNICIPAL,C,DALLAS,Y,RAY HUBBARD LAKE/RESERVOIR,27199,26362,25469,24870,24246,23756
36,648,DALLAS,MUNICIPAL,C,DENTON,Y,RAY HUBBARD LAKE/RESERVOIR,749,864,1000,1136,1271,1407
36,650,DALLAS,MUNICIPAL,C,COLLIN,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,2788,2791,2758,2945,3143,3384
36,650,DALLAS,MUNICIPAL,C,DALLAS,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,65836,61420,56549,56277,55970,56178
36,650,DALLAS,MUNICIPAL,C,DENTON,Y,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,1813,2012,2219,2570,2933,3328
36,738,DALLAS,MUNICIPAL,C,COLLIN,Y,TAWAKONI LAKE/RESERVOIR,4641,4870,5094,5381,5678,6023
36,738,DALLAS,MUNICIPAL,C,DALLAS,Y,TAWAKONI LAKE/RESERVOIR,109569,107155,104450,102839,101116,99966
36,738,DALLAS,MUNICIPAL,C,DENTON,Y,TAWAKONI LAKE/RESERVOIR,3017,3510,4099,4696,5299,5922
38,668,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,RIO GRANDE RUN-OF-RIVER,4369,4369,4369,4369,4369,4369
40,390,DENTON,MUNICIPAL,C,DENTON,N,TRINITY INDIRECT REUSE,4264,4874,4874,6370,8227,10047
40,405,DENTON,MUNICIPAL,C,DENTON,N,LEWISVILLE LAKE/RESERVOIR NON-SYSTEM PORTION,4815,4979,4870,4735,4599,4458
40,649,DENTON,MUNICIPAL,C,DENTON,N,RAY ROBERTS LAKE/RESERVOIR NON-SYSTEM PORTION,17218,18131,18063,17960,17852,17730
43,494,DUMAS,MUNICIPAL,A,MOORE,N,OGALLALA AQUIFER | MOORE,661,662,661,662,639,508
43,981,DUMAS,MUNICIPAL,A,MOORE,N,OGALLALA AND RITA BLANCA AQUIFERS | HARTLEY,2699,1372,853,615,498,438
44,6,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,AMISTAD-FALCON LAKE/RESERVOIR SYSTEM,9441,9441,9441,9441,9441,9441
44,668,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,RIO GRANDE RUN-OF-RIVER,1180,1180,1180,1180,1180,1180
45,810,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,TRWD LAKE/RESERVOIR SYSTEM,1155,1155,1155,1155,1155,1155
47,375,EL PASO COUNTY WCID 4,MUNICIPAL,E,EL PASO,N,HUECO-MESILLA BOLSON AQUIFER | EL PASO,1363,1363,1363,1363,1363,1363
49,169,EL PASO WATER,MUNICIPAL,E,EL PASO,N,DIRECT REUSE,6000,6000,6000,6000,6000,6000
49,375,EL PASO WATER,MUNICIPAL,E,EL PASO,N,HUECO-MESILLA BOLSON AQUIFER | EL PASO,78640,78640,78640,78640,78640,78640
49,668,EL PASO WATER,MUNICIPAL,E,EL PASO,N,RIO GRANDE RUN-OF-RIVER,10000,10000,10000,10000,10000,10000
50,279,EMORY,MUNICIPAL,D,RAINS,N,FORK LAKE/RESERVOIR,1806,1786,1766,1746,1727,1707
50,738,EMORY,MUNICIPAL,D,RAINS,N,TAWAKONI LAKE/RESERVOIR,715,709,701,692,682,673
51,12,ENNIS,MUNICIPAL,C,ELLIS,N,BARDWELL LAKE/RESERVOIR,3388,2913,2408,1950,1486,1215
51,390,ENNIS,MUNICIPAL,C,ELLIS,N,TRINITY INDIRECT REUSE,84,439,816,1143,1446,1436
51,810,ENNIS,MUNICIPAL,C,ELLIS,N,TRWD LAKE/RESERVOIR SYSTEM,0,0,0,0,28,237
52,390,FORNEY,MUNICIPAL,C,KAUFMAN,N,TRINITY INDIRECT REUSE,1440,1628,1760,1886,1992,1932
52,738,FORNEY,MUNICIPAL,C,KAUFMAN,N,TAWAKONI LAKE/RESERVOIR,89,98,105,111,117,112
