EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2030,N2040,N2050,N2060,N2070,N2080
1,ABILENE,MUNICIPAL,G,TAYLOR,N,0,0,0,1460,6907,10934
2,AMARILLO,MUNICIPAL,A,POTTER,Y,2004,4365,5944,7437,7920,8242
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,2094,5168,7995,11447,13887,16437
7,AUSTIN,MUNICIPAL,K,HAYS,Y,0,0,0,0,0,0
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,0,0,0,20971,59292,100060
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,0,0,0,0,0,0
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,6348,6888,7567,7633,7530,7298
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,324,491,611,717,771,912
18,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,0,96,192,267,329,380
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,0,0,0,0,0,108
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,0,0,0,0,0,0
23,CASH SUD,MUNICIPAL,D,HUNT,Y,0,0,0,0,20,323
23,CASH SUD,MUNICIPAL,D,RAINS,Y,0,0,0,0,0,0
24,CEDAR HILL,MUNICIPAL,C,DALLAS,N,799,1354,2032,2641,3322,3988
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,2359,2534,2626,2626,2626,2626
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,216,269,295,295,295,295
26,CENTER,MUNICIPAL,I,SHELBY,N,0,0,0,0,0,0
31,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,0,0,0,0,0,0
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,0,0,0,0,0,5158
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,0,159,584,982,1425,1883
36,DALLAS,MUNICIPAL,C,COLLIN,Y,906,1563,2389,3198,4138,5115
36,DALLAS,MUNICIPAL,C,DALLAS,Y,21348,34365,48982,61090,73719,84915
36,DALLAS,MUNICIPAL,C,DENTON,Y,587,1125,1923,2788,3864,5031
38,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,8608,8616,8648,8679,8710,8741
40,DENTON,MUNICIPAL,C,DENTON,N,5276,12307,22084,30219,40253,50083
43,DUMAS,MUNICIPAL,A,MOORE,N,0,1004,1513,1679,1748,1869
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,0,0,92,559,1023,1486
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,2436,2644,2674,2759,2852,2956
47,EL PASO COUNTY WCID 4,MUNICIPAL,E,EL PASO,N,0,0,0,0,0,0
49,EL PASO WATER,MUNICIPAL,E,EL PASO,N,26149,29456,31596,33120,34669,36243
50,EMORY,MUNICIPAL,D,RAINS,N,0,0,0,0,0,0
51,ENNIS,MUNICIPAL,C,ELLIS,N,249,540,868,1179,1516,1816
52,FORNEY,MUNICIPAL,C,KAUFMAN,N,374,1214,2274,3287,4049,4300
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,FORT BEND,Y,2932,3377,3661,3890,4109,4360
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,HARRIS,Y,88,159,163,167,172,178
55,FORT WORTH,MUNICIPAL,C,DENTON,Y,740,1885,2811,4221,5794,7548
55,FORT WORTH,MUNICIPAL,C,PARKER,Y,105,208,258,341,420,502
55,FORT WORTH,MUNICIPAL,C,TARRANT,Y,30705,61674,76228,98228,118550,138495
55,FORT WORTH,MUNICIPAL,C,WISE,Y,70,138,172,227,282,337
55,FORT WORTH,MUNICIPAL,G,JOHNSON,Y,0,0,295,566,789,853
57,GAINESVILLE,MUNICIPAL,C,COOKE,N,0,0,0,0,0,45
58,GALVESTON,MUNICIPAL,H,GALVESTON,N,0,0,63,425,776,1133
59,GALVESTON COUNTY WCID 1,MUNICIPAL,H,GALVESTON,N,0,0,0,0,0,0
60,GARLAND,MUNICIPAL,C,DALLAS,N,3547,9667,15267,19274,21480,22812
64,GREENVILLE,MUNICIPAL,D,HUNT,N,12829,15468,17138,18569,20046,21296
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,CALHOUN,Y,0,0,0,0,0,0
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,COMAL,Y,0,0,0,0,0,0
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,KENDALL,Y,0,0,0,0,0,0
68,HARLINGEN,MUNICIPAL,M,CAMERON,N,0,0,0,0,0,0
75,HORIZON REGIONAL MUD,MUNICIPAL,E,EL PASO,N,3142,3508,3715,3799,3885,3970
76,HOUSTON,MUNICIPAL,H,FORT BEND,Y,782,931,1062,1145,1142,1170
76,HOUSTON,MUNICIPAL,H,HARRIS,Y,60687,109261,120304,125076,122530,123592
76,HOUSTON,MUNICIPAL,H,MONTGOMERY,Y,319,592,823,991,1114,1231
78,HUNTSVILLE,MUNICIPAL,H,WALKER,N,0,0,0,115,1894,3831
79,JACKSONVILLE,MUNICIPAL,I,CHEROKEE,N,0,0,0,0,0,0
82,LAGUNA MADRE WATER DISTRICT,MUNICIPAL,M,CAMERON,N,0,0,0,0,0,0
83,LAKE CITIES MUNICIPAL UTILITY AUTHORITY,MUNICIPAL,C,DENTON,N,6,821,1387,1566,1734,1850
84,LAMAR COUNTY WSD,MUNICIPAL,D,LAMAR,N,0,0,0,0,0,0
86,LONGVIEW,MUNICIPAL,D,GREGG,Y,0,0,0,0,0,0
86,LONGVIEW,MUNICIPAL,D,HARRISON,Y,0,0,0,0,0,0
89,LOWER VALLEY WATER DISTRICT,MUNICIPAL,E,EL PASO,N,2820,3078,3232,3296,3360,3424
90,LUBBOCK,MUNICIPAL,O,LUBBOCK,N,10641,17916,28398,40551,51497,61240
91,LUFKIN,MUNICIPAL,I,ANGELINA,N,0,0,0,0,0,0
94,MANSFIELD,MUNICIPAL,C,ELLIS,Y,95,121,156,196,222,251
94,MANSFIELD,MUNICIPAL,C,TARRANT,Y,16754,18721,24815,38256,37760,37250
94,MANSFIELD,MUNICIPAL,G,JOHNSON,Y,1063,1602,2274,3023,3582,4195
95,MARSHALL,MUNICIPAL,D,HARRISON,N,0,0,0,0,0,0
96,MCALLEN,MUNICIPAL,M,HIDALGO,N,1361,5494,11326,12558,13809,15080
98,MIDLOTHIAN,MUNICIPAL,C,ELLIS,N,435,1056,1837,2839,3939,4927
100,MOUNT PLEASANT,MUNICIPAL,D,TITUS,N,0,0,0,0,0,0
101,MUSTANG SUD,MUNICIPAL,C,COLLIN,Y,47,236,461,628,788,934
101,MUSTANG SUD,MUNICIPAL,C,DENTON,Y,1408,6873,14066,19654,24912,29575
101,MUSTANG SUD,MUNICIPAL,C,GRAYSON,Y,32,157,310,422,525,622
102,NACOGDOCHES,MUNICIPAL,I,NACOGDOCHES,N,0,0,0,0,0,0
