EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,P2030,P2040,P2050,P2060,P2070,P2080
1,ABILENE,MUNICIPAL,G,TAYLOR,N,134466,145047,153959,162895,172845,184001
2,AMARILLO,MUNICIPAL,A,POTTER,Y,103720,102974,100156,95600,90985,86282
2,AMARILLO,MUNICIPAL,A,RANDALL,Y,108316,121927,134753,147145,159571,172021
7,AUSTIN,MUNICIPAL,K,HAYS,Y,129,152,176,200,224,249
7,AUSTIN,MUNICIPAL,K,TRAVIS,Y,1125827,1315416,1506094,1695615,1871015,2055039
7,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,94844,124153,163421,203844,247105,291088
9,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,126810,130315,133916,132179,130458,128755
13,BORGER,MUNICIPAL,A,HUTCHINSON,N,12269,12106,11807,11462,11138,10841
18,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,2993,3007,2996,2922,2849,2777
22,CARTHAGE,MUNICIPAL,I,PANOLA,N,6237,6186,6098,5982,5870,5760
23,CASH SUD,MUNICIPAL,C,ROCKWALL,Y,2977,3950,5128,6367,7730,9229
23,CASH SUD,MUNICIPAL,D,HOPKINS,Y,212,246,273,336,351,419
23,CASH SUD,MUNICIPAL,D,HUNT,Y,19404,22046,24600,26370,26351,27704
23,CASH SUD,MUNICIPAL,D,RAINS,Y,917,1010,1196,1472,1707,1978
24,CEDAR HILL,MUNICIPAL,C,DALLAS,N,53645,58553,63911,69070,74646,80672
25,CEDAR PARK,MUNICIPAL,G,WILLIAMSON,Y,92024,92024,92024,92024,92024,92024
25,CEDAR PARK,MUNICIPAL,K,TRAVIS,Y,10542,11955,12521,12521,12521,12521
26,CENTER,MUNICIPAL,I,SHELBY,N,4764,4690,4574,4459,4344,4233
31,CLEAR LAKE CITY WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,64000,65297,66088,66495,66840,66065
34,CORPUS CHRISTI,MUNICIPAL,N,NUECES,N,313373,318911,319214,317292,315382,313482
35,CORSICANA,MUNICIPAL,C,NAVARRO,N,27916,29886,31517,32925,34477,36187
36,DALLAS,MUNICIPAL,C,COLLIN,Y,53145,59190,65922,73420,81771,91072
36,DALLAS,MUNICIPAL,C,DALLAS,Y,1254601,1302256,1351721,1403065,1456359,1511677
36,DALLAS,MUNICIPAL,C,DENTON,Y,34543,42657,53054,64065,76324,89553
38,DEL RIO UTILITIES COMMISSION,MUNICIPAL,J,VAL VERDE,N,35932,36018,36105,36191,36278,36365
40,DENTON,MUNICIPAL,C,DENTON,N,179044,229192,283800,337235,403484,468260
43,DUMAS,MUNICIPAL,A,MOORE,N,14752,14830,14776,14427,14083,13742
44,EAGLE PASS,MUNICIPAL,M,MAVERICK,N,58692,62688,65889,68762,71614,74461
45,EAST CEDAR CREEK FWSD,MUNICIPAL,C,HENDERSON,N,23746,25120,25323,25882,26501,27183
47,EL PASO COUNTY WCID 4,MUNICIPAL,E,EL PASO,N,6132,6385,6517,6571,6626,6681
49,EL PASO WATER,MUNICIPAL,E,EL PASO,N,790511,815858,829931,839949,850135,860485
50,EMORY,MUNICIPAL,D,RAINS,N,1745,1780,1831,1844,1856,1865
51,ENNIS,MUNICIPAL,C,ELLIS,N,20220,21227,22316,23303,24413,25655
52,FORNEY,MUNICIPAL,C,KAUFMAN,N,29597,38044,47108,55621,61829,61829
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,FORT BEND,Y,38155,41373,43364,44951,46476,48213
54,FORT BEND COUNTY WCID 2,MUNICIPAL,H,HARRIS,Y,1337,1339,1340,1345,1354,1381
55,FORT WORTH,MUNICIPAL,C,DENTON,Y,26302,39396,48326,60243,73369,87826
55,FORT WORTH,MUNICIPAL,C,PARKER,Y,3751,4321,4438,4856,5321,5835
55,FORT WORTH,MUNICIPAL,C,TARRANT,Y,1091983,1287121,1310518,1401360,1501256,1611117
55,FORT WORTH,MUNICIPAL,C,WISE,Y,2480,2862,2948,3243,3567,3924
55,FORT WORTH,MUNICIPAL,G,JOHNSON,Y,0,0,5081,8066,10001,9917
57,GAINESVILLE,MUNICIPAL,C,COOKE,N,19705,20309,20590,21533,23237,24916
58,GALVESTON,MUNICIPAL,H,GALVESTON,N,57160,57523,58340,58817,59213,59588
59,GALVESTON COUNTY WCID 1,MUNICIPAL,H,GALVESTON,N,26453,27401,27883,28220,28472,28677
60,GARLAND,MUNICIPAL,C,DALLAS,N,259490,280255,292596,301612,303416,303416
64,GREENVILLE,MUNICIPAL,D,HUNT,N,54617,61479,65416,68708,72042,75417
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,CALHOUN,Y,3669,3326,2956,2605,2202,1743
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,COMAL,Y,3500,3500,3500,3500,3500,3500
65,GUADALUPE-BLANCO RIVER AUTHORITY,MUNICIPAL,L,KENDALL,Y,1719,5500,5500,5500,5500,5500
68,HARLINGEN,MUNICIPAL,M,CAMERON,N,85744,87959,88766,88532,88296,88057
75,HORIZON REGIONAL MUD,MUNICIPAL,E,EL PASO,N,49297,51367,52435,52874,53316,53760
76,HOUSTON,MUNICIPAL,H,FORT BEND,Y,41284,45015,47236,49578,51314,52796
76,HOUSTON,MUNICIPAL,H,HARRIS,Y,2298150,2368081,2427905,2453649,2441131,2447401
76,HOUSTON,MUNICIPAL,H,MONTGOMERY,Y,7931,8545,9262,9840,10373,10821
78,HUNTSVILLE,MUNICIPAL,H,WALKER,N,59182,64517,73576,84628,96625,109684
79,JACKSONVILLE,MUNICIPAL,I,CHEROKEE,N,13352,13218,12975,12705,12435,12165
82,LAGUNA MADRE WATER DISTRICT,MUNICIPAL,M,CAMERON,N,11100,11384,11484,11445,11405,11362
83,LAKE CITIES MUNICIPAL UTILITY AUTHORITY,MUNICIPAL,C,DENTON,N,17721,21502,22513,22753,22897,22897
84,LAMAR COUNTY WSD,MUNICIPAL,D,LAMAR,N,17592,17640,17553,17474,17394,17313
86,LONGVIEW,MUNICIPAL,D,GREGG,Y,80372,81572,82484,82526,82548,82630
86,LONGVIEW,MUNICIPAL,D,HARRISON,Y,2743,3046,3169,3618,4071,4441
89,LOWER VALLEY WATER DISTRICT,MUNICIPAL,E,EL PASO,N,67684,70526,71992,72595,73202,73812
90,LUBBOCK,MUNICIPAL,O,LUBBOCK,N,300165,333391,367043,409890,455805,505009
91,LUFKIN,MUNICIPAL,I,ANGELINA,N,40845,41558,41880,42290,42694,43097
94,MANSFIELD,MUNICIPAL,C,ELLIS,Y,581,698,824,951,1091,1245
94,MANSFIELD,MUNICIPAL,C,TARRANT,Y,102621,108197,131234,185294,185154,185000
94,MANSFIELD,MUNICIPAL,G,JOHNSON,Y,6512,9258,12029,14640,17563,20835
95,MARSHALL,MUNICIPAL,D,HARRISON,N,23333,22845,22805,21509,20250,19026
96,MCALLEN,MUNICIPAL,M,HIDALGO,N,165587,184057,201554,206901,212332,217849
98,MIDLOTHIAN,MUNICIPAL,C,ELLIS,N,33669,38530,45987,52996,60311,66058
100,MOUNT PLEASANT,MUNICIPAL,D,TITUS,N,15777,16202,16449,16654,16880,17129
101,MUSTANG SUD,MUNICIPAL,C,COLLIN,Y,3517,5124,6520,7970,9133,10213
101,MUSTANG SUD,MUNICIPAL,C,DENTON,Y,105046,149073,199398,249230,289198,323398
101,MUSTANG SUD,MUNICIPAL,C,GRAYSON,Y,2344,3424,4396,5368,6088,6808
102,NACOGDOCHES,MUNICIPAL,I,NACOGDOCHES,N,36389,37462,38422,39870,41314,42756
103,NORTH ALAMO WSC,MUNICIPAL,M,CAMERON,Y,4317,4428,4467,4450,4434,4418
103,NORTH ALAMO WSC,MUNICIPAL,M,HIDALGO,Y,212974,235887,250160,252649,255098,257509
103,NORTH ALAMO WSC,MUNICIPAL,M,WILLACY,Y,4517,4527,4553,4607,4699,4841
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,842265,860999,886060,898264,927801,947380
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,MONTGOMERY,Y,42,49,52,54,56,58
107,NORTH RICHLAND HILLS,MUNICIPAL,C,TARRANT,N,80119,85636,87051,88170,89800,89800
110,NUECES COUNTY WCID 3,MUNICIPAL,N,NUECES,N,11864,12076,12086,12009,11933,11857
111,ODESSA,MUNICIPAL,F,ECTOR,Y,113427,130094,150042,159332,168536,177680
111,ODESSA,MUNICIPAL,F,MIDLAND,Y,5587,8559,12083,14529,17061,19653
115,PARIS,MUNICIPAL,D,LAMAR,N,26838,26913,26793,26666,26537,26409
117,PASADENA,MUNICIPAL,H,HARRIS,N,142333,144376,145493,145987,146025,145668
118,PORT ARTHUR,MUNICIPAL,I,JEFFERSON,N,47614,48091,47961,47383,46812,46249
121,ROCKETT SUD,MUNICIPAL,C,DALLAS,Y,755,836,912,938,966,976
121,ROCKETT SUD,MUNICIPAL,C,ELLIS,Y,37615,44938,53859,62009,74775,85142
122,ROCKWALL,MUNICIPAL,C,ROCKWALL,N,55075,67561,89991,120077,124696,124696
123,ROUND ROCK,MUNICIPAL,G,WILLIAMSON,Y,145880,180164,214132,221167,227537,233092
