EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,SourceType,WmsId,WmsSponsorRegion,WmsName,WmsType,SS2030,SS2040,SS2050,SS2060,SS2070,SS2080
1,,ABILENE,MUNICIPAL,G,TAYLOR,N,DEMAND REDUCTION,DEMAND REDUCTION,3889,G,MUNICIPAL WATER CONSERVATION - ABILENE,MUNICIPAL CONSERVATION,1995,5139,6489,6866,7285,7756
1,137,ABILENE,MUNICIPAL,G,TAYLOR,N,CEDAR RIDGE LAKE/RESERVOIR,SURFACE WATER,2893,G,CEDAR RIDGE RESERVOIR,NEW MAJOR RESERVOIR,0,18889,16300,13200,10100,10100
1,507,ABILENE,MUNICIPAL,G,TAYLOR,N,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,4013,F,SUBORDINATION - OH IVIE NON-SYSTEM PORTION,OTHER SURFACE WATER,803,778,753,786,821,849
1,507,ABILENE,MUNICIPAL,G,TAYLOR,N,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,5382,F,WEST TEXAS WATER PARTNERSHIP - OH IVIE NON-SYSTEM SUBORDINATION ABILENE TRANSFER,OTHER SURFACE WATER,0,779,754,787,821,849
1,507,ABILENE,MUNICIPAL,G,TAYLOR,N,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,SURFACE WATER,5383,F,WEST TEXAS WATER PARTNERSHIP - OH IVIE NON-SYSTEM ABILENE TRANSFER,OTHER SURFACE WATER,0,7621,7646,7613,7579,7551
2,,AMARILLO,MUNICIPAL,A,POTTER,Y,DEMAND REDUCTION,DEMAND REDUCTION,311,A,MUNICIPAL CONSERVATION - AMARILLO,MUNICIPAL CONSERVATION,462,464,450,429,408,386
2,,AMARILLO,MUNICIPAL,A,POTTER,Y,DEMAND REDUCTION,DEMAND REDUCTION,4026,A,WATER AUDIT AND LEAK REPAIR - AMARILLO,MUNICIPAL CONSERVATION,994,984,956,913,869,823
2,,AMARILLO,MUNICIPAL,A,POTTER,Y,DEMAND REDUCTION,DEMAND REDUCTION,4802,A,ADVANCED METERING INFRASTRUCTURE - AMARILLO,MUNICIPAL CONSERVATION,703,698,678,648,616,585
2,,AMARILLO,MUNICIPAL,A,RANDALL,Y,DEMAND REDUCTION,DEMAND REDUCTION,311,A,MUNICIPAL CONSERVATION - AMARILLO,MUNICIPAL CONSERVATION,482,550,606,659,715,771
2,,AMARILLO,MUNICIPAL,A,RANDALL,Y,DEMAND REDUCTION,DEMAND REDUCTION,4026,A,WATER AUDIT AND LEAK REPAIR - AMARILLO,MUNICIPAL CONSERVATION,1037,1164,1287,1405,1524,1643
