EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2020,WS2030,WS2040,WS2050,WS2060,WS2070
1,55,ABILENE,MUNICIPAL,G,JONES,Y,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,441,447,393,189,59,40
1,55,ABILENE,MUNICIPAL,G,TAYLOR,Y,BRAZOS RIVER AUTHORITY MAIN STEM LAKE/RESERVOIR SYSTEM,9959,9953,8749,4180,1298,867
1,281,ABILENE,MUNICIPAL,G,JONES,Y,FORT PHANTOM HILL LAKE/RESERVOIR,98,95,90,86,82,15
1,281,ABILENE,MUNICIPAL,G,TAYLOR,Y,FORT PHANTOM HILL LAKE/RESERVOIR,2202,2105,2010,1914,1818,323
1,373,ABILENE,MUNICIPAL,G,JONES,Y,HUBBARD CREEK LAKE/RESERVOIR,188,85,37,43,50,0
1,373,ABILENE,MUNICIPAL,G,TAYLOR,Y,HUBBARD CREEK LAKE/RESERVOIR,4243,1893,829,944,1110,0
1,507,ABILENE,MUNICIPAL,G,JONES,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,138,133,126,99,102,42
1,507,ABILENE,MUNICIPAL,G,TAYLOR,Y,OH IVIE LAKE/RESERVOIR NON-SYSTEM PORTION,3105,2960,2803,2202,2248,920
1,952,ABILENE,MUNICIPAL,G,JONES,Y,BRAZOS INDIRECT REUSE,53,54,54,54,54,99
1,952,ABILENE,MUNICIPAL,G,TAYLOR,Y,BRAZOS INDIRECT REUSE,1197,1196,1196,1196,1196,2161
2,427,AMARILLO,MUNICIPAL,A,POTTER,Y,MEREDITH LAKE/RESERVOIR,5436,5413,5182,4993,5068,5094
2,427,AMARILLO,MUNICIPAL,A,RANDALL,Y,MEREDITH LAKE/RESERVOIR,4414,4422,4232,4088,4149,4165
2,465,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | CARSON,6788,6198,5408,4668,4060,4062
2,465,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | CARSON,5512,5062,4418,3822,3324,3322
2,472,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | DEAF SMITH,100,100,100,100,50,0
2,499,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | POTTER,3850,2586,2359,2164,1973,1946
2,499,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | POTTER,1338,709,842,907,922,949
2,500,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | RANDALL,1689,1304,985,763,641,641
2,501,AMARILLO,MUNICIPAL,A,POTTER,Y,OGALLALA AQUIFER | ROBERTS,12318,12399,11878,10542,9765,9877
2,501,AMARILLO,MUNICIPAL,A,RANDALL,Y,OGALLALA AQUIFER | ROBERTS,10002,10129,9701,8631,7994,8076
7,169,AUSTIN,MUNICIPAL,K,TRAVIS,Y,DIRECT REUSE,2691,2391,2391,2391,2391,2391
7,368,AUSTIN,MUNICIPAL,K,TRAVIS,Y,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,123607,123607,123607,123607,123607,123607
7,658,AUSTIN,MUNICIPAL,K,HAYS,Y,COLORADO RUN-OF-RIVER,188,827,1304,2063,3025,4357
7,658,AUSTIN,MUNICIPAL,K,TRAVIS,Y,COLORADO RUN-OF-RIVER,165981,160981,170904,167135,163267,158745
7,658,AUSTIN,MUNICIPAL,K,WILLIAMSON,Y,COLORADO RUN-OF-RIVER,10787,13742,16122,18685,21592,24782
9,314,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,GULF COAST AQUIFER SYSTEM | HARDIN,9500,9500,9500,9500,9500,9500
9,663,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,NECHES RUN-OF-RIVER,13368,13496,13612,14249,15632,16870
9,683,BEAUMONT,MUNICIPAL,I,JEFFERSON,N,SAM RAYBURN-STEINHAGEN LAKE/RESERVOIR SYSTEM,7920,9114,9263,8079,6679,5424
13,465,BORGER,MUNICIPAL,A,HUTCHINSON,N,OGALLALA AQUIFER | CARSON,800,719,672,634,602,602
13,487,BORGER,MUNICIPAL,A,HUTCHINSON,N,OGALLALA AQUIFER | HUTCHINSON,3470,2385,2012,1537,1238,1139
13,501,BORGER,MUNICIPAL,A,HUTCHINSON,N,OGALLALA AQUIFER | ROBERTS,2329,2129,1914,1548,1298,1395
18,494,CACTUS MUNICIPAL WATER SYSTEM,MUNICIPAL,A,MOORE,N,OGALLALA AQUIFER | MOORE,679,525,423,311,240,256
22,114,CARTHAGE,MUNICIPAL,I,PANOLA,N,CARRIZO-WILCOX AQUIFER | PANOLA,49,49,49,49,49,49
22,437,CARTHAGE,MUNICIPAL,I,PANOLA,N,MURVAUL LAKE/RESERVOIR,1601,1602,1595,1599,1610,1621
